temperature,humidity,vibrations,speed,temperature_status,humidity_status,vibrations_status,speed_status
35.33,63.21,1.02,59.01,MEDIUM,NORMAL,NORMAL,LOW
28.82,68.18,1.59,88.59,NORMAL,LOW,HIGH,HIGH
25.76,69.06,0.94,13.4,NORMAL,LOW,NORMAL,NORMAL
24.53,74.19,1.64,32.83,NORMAL,HIGH,HIGH,NORMAL
35.45,66.37,1.24,5.95,MEDIUM,NORMAL,LOW,NORMAL
29.02,68.33,1.38,64.95,NORMAL,LOW,MEDIUM,LOW
39.21,66.84,1.56,73.67,HIGH,NORMAL,HIGH,MEDIUM
38.3,73.17,1.49,58.09,HIGH,HIGH,MEDIUM,LOW
33.68,66.35,0.91,68.15,LOW,NORMAL,NORMAL,LOW
25.5,74.06,0.9,25.28,NORMAL,HIGH,NORMAL,NORMAL
24.43,60.27,1.42,89.76,NORMAL,NORMAL,MEDIUM,HIGH
36.71,63.78,1.25,80.45,MEDIUM,NORMAL,LOW,MEDIUM
27.04,61.06,1.52,41.01,NORMAL,NORMAL,HIGH,NORMAL
33.15,69.98,1.59,48.55,LOW,LOW,HIGH,NORMAL
28.97,72.55,1.42,37,NORMAL,MEDIUM,MEDIUM,NORMAL
26.84,72.11,1.01,61.07,NORMAL,MEDIUM,NORMAL,LOW
25.87,61.67,1.05,39.7,NORMAL,NORMAL,NORMAL,NORMAL
31.4,73.08,1.5,56.4,LOW,HIGH,MEDIUM,LOW
28.65,67.89,1.01,50.34,NORMAL,LOW,NORMAL,LOW
29.47,66.09,1.69,15.94,NORMAL,NORMAL,HIGH,NORMAL
36.45,60.49,1.55,49.35,MEDIUM,NORMAL,HIGH,NORMAL
31.88,68.14,1.43,38.27,LOW,LOW,MEDIUM,NORMAL
36.67,69.08,0.98,65.81,MEDIUM,LOW,NORMAL,LOW
39.93,70.56,1,41.77,HIGH,MEDIUM,NORMAL,NORMAL
25.69,67.42,1.63,85.03,NORMAL,LOW,HIGH,HIGH
30,62.66,1.43,78.33,NORMAL,NORMAL,MEDIUM,MEDIUM
28.43,62.98,1.31,51.82,NORMAL,NORMAL,MEDIUM,LOW
37.97,68.12,0.95,58.17,MEDIUM,LOW,NORMAL,LOW
28.62,61.11,1.39,33.53,NORMAL,NORMAL,MEDIUM,NORMAL
27.11,64.01,1.33,99.12,NORMAL,NORMAL,MEDIUM,HIGH
25.49,66.18,1.24,55.96,NORMAL,NORMAL,LOW,LOW
36.15,65.15,1.33,65.13,MEDIUM,NORMAL,MEDIUM,LOW
28.55,68.74,1.28,37.76,NORMAL,LOW,LOW,NORMAL
29.4,66.47,1.62,52.06,NORMAL,NORMAL,HIGH,LOW
